# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 222 10/21/2009 SJ Web Edition
# File: D:\Projekte\cycloneIII_3c25_niosII_video.csv
# Generated on: Thu Feb 11 10:14:05 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
top_HC_LCD_DATA[4],Unknown,PIN_M17,5,B5_N0,,
top_HC_LCD_DATA[5],Unknown,PIN_N6,3,B3_N0,,
top_HC_LCD_DATA[6],Unknown,PIN_M13,4,B4_N0,,
top_HC_LCD_DATA[7],Unknown,PIN_N13,4,B4_N0,,
top_HC_NCLK,Unknown,PIN_D14,7,B7_N0,,
top_HC_DEN,Unknown,PIN_R17,5,B5_N0,,
top_HC_HD,Unknown,PIN_M14,5,B5_N0,,
top_HC_VD,Unknown,PIN_L13,5,B5_N0,,
top_HC_GREST,Unknown,PIN_R18,5,B5_N0,,
top_HC_SCEN,Unknown,PIN_M6,3,B3_N0,,
top_HC_SDA,Unknown,PIN_T2,2,B2_N0,,
top_HC_ADC_PENIRQ_N,Unknown,PIN_N17,5,B5_N0,,
top_HC_ADC_DOUT,Unknown,PIN_L18,5,B5_N0,,
top_HC_ADC_BUSY,Unknown,PIN_K18,5,B5_N0,,
top_HC_ADC_DIN,Unknown,PIN_U18,4,B4_N0,,
top_HC_ADC_DCLK,Unknown,PIN_V18,4,B4_N0,,
top_HC_ADC_CS_N,Unknown,PIN_R5,2,B2_N0,,
top_ssram_bw_n,Unknown,,,,2.5 V,
,Unknown,PIN_F5,,,,
,Unknown,PIN_E5,,,,
,Unknown,PIN_E4,,,,
,Unknown,PIN_G5,1,B1_N0,,
,Unknown,PIN_H4,1,B1_N0,,
,Unknown,PIN_J6,1,B1_N0,,
,Unknown,PIN_J1,1,B1_N0,,
,Unknown,PIN_J2,1,B1_N0,,
,Unknown,PIN_J5,1,B1_N0,,
,Unknown,PIN_K6,1,B1_N0,,
,Unknown,PIN_N1,2,B2_N0,,
,Unknown,PIN_N5,,,,
,Unknown,PIN_P5,,,,
,Unknown,PIN_P4,,,,
,Unknown,PIN_T6,3,B3_N0,,
,Unknown,PIN_U9,3,B3_N0,,
,Unknown,PIN_U10,4,B4_N0,,
,Unknown,PIN_V10,4,B4_N0,,
,Unknown,PIN_P12,4,B4_N0,,
,Unknown,PIN_T11,4,B4_N0,,
,Unknown,PIN_P15,,,,
,Unknown,PIN_P14,,,,
,Unknown,PIN_N14,,,,
,Unknown,PIN_K14,6,B6_N0,,
,Unknown,PIN_K13,6,B6_N0,,
,Unknown,PIN_J18,6,B6_N0,,
,Unknown,PIN_J17,6,B6_N0,,
,Unknown,PIN_J14,6,B6_N0,,
,Unknown,PIN_H14,6,B6_N0,,
,Unknown,PIN_H13,6,B6_N0,,
,Unknown,PIN_F14,,,,
,Unknown,PIN_F15,,,,
,Unknown,PIN_E15,,,,
,Unknown,PIN_B9,8,B8_N0,,
,Unknown,PIN_G7,,,,
